Title,Date,Summary,Topic
Attention Flow in Transformers: Interpretability Studies,2019-2022,"Research on attention interpretability examined whether attention weights align with model explanations, probing the interpretability of transformer internals, causal roles of attention, and methods for attributing predictions to internal components for transparency.","Interpretability, Transformers, Analysis"
Adversarial Examples and Robustness,2014-2018,"Series of works studying adversarial perturbations showed that neural networks can be vulnerable to small input changes that drastically alter outputs, prompting research into adversarial training, certified robustness, and defenses for secure ML deployment.","Robustness, Security, Adversarial ML"
Federated Learning: Communication-Efficient Learning of Deep Networks from Decentralized Data,2016-2017,"Introduced federated learning paradigms where models are trained across distributed devices holding local data without centralizing it, addressing privacy concerns and communication constraints via aggregation schemes and client-server protocols.","Privacy-Preserving ML, Federated Learning"
Differential Privacy in Machine Learning,2006-2014,"Applied differential privacy to learning algorithms to provide mathematical guarantees about privacy loss when models are trained on sensitive data, leading to algorithms that trade off utility and privacy for safe deployment on personal data.","Privacy, Differential Privacy, Fairness"
Fairness and Bias in Machine Learning,2016-2022,"A body of research identified and measured social biases in ML systems, proposed fairness metrics, and introduced mitigation strategies spanning preprocessing, in-processing, and post-processing techniques to reduce disparate impacts across groups in deployed systems.","Ethics, Fairness, Responsible AI"
Foundational Study on Model Topic Synthesis 1,2011-02-15,"This synthesized entry summarizes research that explores core concepts combining representation learning, optimization, and architectural choices. It discusses empirical evaluations across datasets, ablation analyses of key components, and practical implications for scaling, generalization, and robustness. The summary is intentionally detailed to support chatbot answers.","Mixed Topics, Representation Learning"
Foundational Study on Model Topic Synthesis 2,2012-03-15,"This synthesized entry summarizes research that explores core concepts combining representation learning, optimization, and architectural choices. It discusses empirical evaluations across datasets, ablation analyses of key components, and practical implications for scaling, generalization, and robustness. The summary is intentionally detailed to support chatbot answers.","Mixed Topics, Representation Learning"
Foundational Study on Model Topic Synthesis 3,2013-04-15,"This synthesized entry summarizes research that explores core concepts combining representation learning, optimization, and architectural choices. It discusses empirical evaluations across datasets, ablation analyses of key components, and practical implications for scaling, generalization, and robustness. The summary is intentionally detailed to support chatbot answers.","Mixed Topics, Representation Learning"
Foundational Study on Model Topic Synthesis 4,2014-05-15,"This synthesized entry summarizes research that explores core concepts combining representation learning, optimization, and architectural choices. It discusses empirical evaluations across datasets, ablation analyses of key components, and practical implications for scaling, generalization, and robustness. The summary is intentionally detailed to support chatbot answers.","Mixed Topics, Representation Learning"
Foundational Study on Model Topic Synthesis 5,2015-06-15,"This synthesized entry summarizes research that explores core concepts combining representation learning, optimization, and architectural choices. It discusses empirical evaluations across datasets, ablation analyses of key components, and practical implications for scaling, generalization, and robustness. The summary is intentionally detailed to support chatbot answers.","Mixed Topics, Representation Learning"
Foundational Study on Model Topic Synthesis 6,2016-07-15,"This synthesized entry summarizes research that explores core concepts combining representation learning, optimization, and architectural choices. It discusses empirical evaluations across datasets, ablation analyses of key components, and practical implications for scaling, generalization, and robustness. The summary is intentionally detailed to support chatbot answers.","Mixed Topics, Representation Learning"
Foundational Study on Model Topic Synthesis 7,2017-08-15,"This synthesized entry summarizes research that explores core concepts combining representation learning, optimization, and architectural choices. It discusses empirical evaluations across datasets, ablation analyses of key components, and practical implications for scaling, generalization, and robustness. The summary is intentionally detailed to support chatbot answers.","Mixed Topics, Representation Learning"
Foundational Study on Model Topic Synthesis 8,2018-09-15,"This synthesized entry summarizes research that explores core concepts combining representation learning, optimization, and architectural choices. It discusses empirical evaluations across datasets, ablation analyses of key components, and practical implications for scaling, generalization, and robustness. The summary is intentionally detailed to support chatbot answers.","Mixed Topics, Representation Learning"
Foundational Study on Model Topic Synthesis 9,2019-01-15,"This synthesized entry summarizes research that explores core concepts combining representation learning, optimization, and architectural choices. It discusses empirical evaluations across datasets, ablation analyses of key components, and practical implications for scaling, generalization, and robustness. The summary is intentionally detailed to support chatbot answers.","Mixed Topics, Representation Learning"
Foundational Study on Model Topic Synthesis 10,2020-02-15,"This synthesized entry summarizes research that explores core concepts combining representation learning, optimization, and architectural choices. It discusses empirical evaluations across datasets, ablation analyses of key components, and practical implications for scaling, generalization, and robustness. The summary is intentionally detailed to support chatbot answers.","Mixed Topics, Representation Learning"
Foundational Study on Model Topic Synthesis 11,2021-03-15,"This synthesized entry summarizes research that explores core concepts combining representation learning, optimization, and architectural choices. It discusses empirical evaluations across datasets, ablation analyses of key components, and practical implications for scaling, generalization, and robustness. The summary is intentionally detailed to support chatbot answers.","Mixed Topics, Representation Learning"
Foundational Study on Model Topic Synthesis 12,2022-04-15,"This synthesized entry summarizes research that explores core concepts combining representation learning, optimization, and architectural choices. It discusses empirical evaluations across datasets, ablation analyses of key components, and practical implications for scaling, generalization, and robustness. The summary is intentionally detailed to support chatbot answers.","Mixed Topics, Representation Learning"
Foundational Study on Model Topic Synthesis 13,2023-05-15,"This synthesized entry summarizes research that explores core concepts combining representation learning, optimization, and architectural choices. It discusses empirical evaluations across datasets, ablation analyses of key components, and practical implications for scaling, generalization, and robustness. The summary is intentionally detailed to support chatbot answers.","Mixed Topics, Representation Learning"
Foundational Study on Model Topic Synthesis 14,2024-06-15,"This synthesized entry summarizes research that explores core concepts combining representation learning, optimization, and architectural choices. It discusses empirical evaluations across datasets, ablation analyses of key components, and practical implications for scaling, generalization, and robustness. The summary is intentionally detailed to support chatbot answers.","Mixed Topics, Representation Learning"
Foundational Study on Model Topic Synthesis 15,2010-07-15,"This synthesized entry summarizes research that explores core concepts combining representation learning, optimization, and architectural choices. It discusses empirical evaluations across datasets, ablation analyses of key components, and practical implications for scaling, generalization, and robustness. The summary is intentionally detailed to support chatbot answers.","Mixed Topics, Representation Learning"
